ds_path,has_train,has_test,has_lesion,has_lesion_seg,has_synthseg,has_longitudinal,has_multiple_modalities,is_skullstripped,is_synthetic,desc
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5000_BraTS-GLI_2023,True,True,True,True,True,False,True,True,False,glioblastomas
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5001_BraTS-SSA_2023,True,True,True,True,True,False,True,True,False,African gliloms
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5002_BraTS-MEN_2023,True,True,True,True,True,False,True,True,False,meningiomas
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5003_BraTS-MET_2023,True,False,True,True,True,False,True,True,False,metastases
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5004_BraTS-MET-NYU_2023,True,False,True,True,True,False,True,True,False,metastases
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5005_BraTS-PED_2023,True,True,True,True,True,False,True,True,False,pediatric glioblastomas
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5006_BraTS-MET-UCSF_2023,True,False,True,True,True,False,True,True,False,metastases
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5007_UCSF-BMSR,True,False,True,True,True,False,True,True,False,metastases
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5010_ATLASR2,True,True,True,True,True,False,False,True,False,lesions after stroke
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5012_ShiftsBest,True,False,True,True,True,False,True,True,False,multiple sclerosis
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5013_ShiftsLjubljana,True,False,True,True,True,False,True,True,False,multiple sclerosis
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5038_BrainTumour,True,True,True,True,True,False,True,True,False,tumors
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5041_BRATS,True,False,True,True,True,False,False,True,False,tumor
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5042_BRATS2016,True,False,True,True,True,False,False,True,False,tumor
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5043_BrainDevelopment,True,False,True,True,True,False,False,True,False,--
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5044_EPISURG,True,False,True,True,True,False,False,True,False,--
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5066_WMH,True,False,True,True,True,False,False,True,False,--
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5083_IXIT1,True,True,False,False,True,False,False,True,False,T1 modality of Dataset4999_IXIAllModalities
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5084_IXIT2,True,True,False,False,True,False,False,True,False,T2 modality of Dataset4999_IXIAllModalities
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5085_IXIPD,True,True,False,False,True,False,False,True,False,PD modality of Dataset4999_IXIAllModalities
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5090_ISLES2022,True,False,True,True,True,False,True,True,False,ichemic stroke lesions
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5095_MSSEG,True,True,True,True,True,False,True,True,False,multiple sclerosis
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5096_MSSEG2,True,False,True,True,True,False,True,True,False,multiple sclerosis
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5111_UCSF-ALPTDG-time1,True,False,True,True,True,False,True,True,False,timepoint 1 of Dataset5114_UCSF-ALPTDG
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5112_UCSF-ALPTDG-time2,True,False,True,True,True,False,True,True,False,timepoint 2 of Dataset5114_UCSF-ALPTDG
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5113_StanfordMETShare,True,True,True,True,True,False,True,True,False,metastases
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset5114_UCSF-ALPTDG,True,False,True,True,True,True,True,True,False,tumor
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset6000_PPMI-T1-3T-PreProc,True,True,False,False,True,True,False,True,False,Heejong's preprocessed data using NPP
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset6001_ADNI-group-T1-3T-PreProc,True,True,False,False,True,True,False,True,False,Heejong's preprocessed data using NPP
/simurgh/u/alanqw/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset6002_OASIS3,True,True,False,False,True,True,False,True,False,Heejong's preprocessed data using NPP
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset4999_IXIAllModalities,True,True,False,False,True,False,True,True,False,healthy
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset1000_PPMI,True,True,False,False,True,False,False,True,False,Parkinson's disease
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset1001_PACS2019,True,True,False,False,True,False,False,True,False,--
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset1002_AIBL,True,True,False,False,True,False,False,True,False,--
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset1004_OASIS2,True,True,False,False,True,True,False,True,False,--
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset1007_ADNI,True,True,False,False,True,False,True,True,False,ADNI has longitudinal but I didn't know how to extract it :(
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset1008_OASIS1deepsurfercorrected,True,True,False,False,True,True,False,True,False,fixed version of Dataset1005_OASIS1 with corrected matrix using deepsurfer 
/simurgh/u/alanqw/data/brain_nolesions_nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset1009_OASIS3deepsurfercorrected,True,True,False,False,True,True,True,True,False,fixed version of Dataset1006_OASIS3 with corrected matrix using deepsurfer 